Title,Location,Price,Details,City
D1 capital park city Islamabad principle of luxury,"D1 Capital Park City, Islamabad",14.25 Lakh,D1 capital park city Islamabad limi,Islamabad
"""Stunning House for Sale in DHA Phase 2, Islamabad - Embrace the Epitome of Modern Living""","DHA Defence Phase 2, DHA Defence",9.9 Crore,This luxurious and meticulously des,Islamabad
An Ideal House For Sale At Good Location,"G-15, Islamabad",3.13 Crore,"A beautifully house for sale in , G",Islamabad
10 Marla Brand New House In Sector-c2 Bahria Enclave Islamabad,"Bahria Enclave - Sector C2, Bahria Enclave",3 Crore,10Marla Brand New House is up for s,Islamabad
10 Marla Brand New House In Sector C2 Bahria Enclave Islamabad,"Bahria Enclave - Sector C2, Bahria Enclave",4.65 Crore,Are you Looking for 10Marla Villa I,Islamabad
Your Dream 2000 Square Feet Flat Is Available In Constitution Avenue,"Constitution Avenue, Islamabad",40.55 Lakh,Buy a Flat from an investment point,Islamabad
KANAL BRAND NEW DOUBLE STORY HOUSE FOR SALE,"Soan Garden - Block D, Soan Garden",4.65 Crore,"CLIENT SATISFACTION IS OUR GOAL 
HE",Islamabad
2 Beds Apartment Available For Sale On Installment In Faisal Margalla City (fmc) Adjacent B-17 Block A,"B-17, Islamabad",8.5 Crore,"Project Features:
Spacious entrance",Islamabad
Prime Location 1800 Square Feet House In G-15/4 Best Option,"G-15/4, G-15",6 Crore,07 Marla House Available For sell i,Islamabad
7 Marla Double Unit House For Sale in D-17 Islamabad.,"Margalla View Housing Society, D-17",65 Lakh,"7 Marla Double Unit House. 
For Sal",Islamabad
Your Search For Flat In Islamabad Ends Here,"Rawalpindi Housing Society, C-18",2.6 Crore,Third floor Two Bed Apartment Is Av,Islamabad
A Flat Of 288.9 Square Feet In Multi Residencia & Orchards,"Multi Residencia & Orchards, Islamabad",2.5 Crore,The Flat being offered might just b,Islamabad
Brand New Luxury's House On Extremely prime Location Available For sale in Islamabad,"F-6, Islamabad",49.6 Lakh,Best Property Advisors and Builders,Islamabad
2 side Corner Old House On Margala road Prime location Available For sale in Islamabad,"F-7, Islamabad",33.27 Lakh,Best Property Advisors and Builders,Islamabad
E11-4 Makkah Tower 850 sft one bedroom apartment for sale.,"E-11/4, E-11",26 Crore,E11-4 Makkah tower one bedroom apar,Islamabad
E11-2 Crown business center one bedroom Apartment for sale.,"E-11/2, E-11",1.5 Arab,E11-2 Crown Bussiness Center One be,Islamabad
E11/4 Abdullah Heights Three bedroom Apartment for sale.,"E-11/4, E-11",1.3 Crore,E11/4 Abdullah Height Three bedroom,Islamabad
F-6 House for sale,"F-6/2, F-6",75 Lakh,Marriott Estate And Builders Offer,Islamabad
F-6 House for sale,"F-6/2, F-6",1.3 Crore,Marriott Estate And Builders Offer,Islamabad
F-6 House for sale,"F-6/2, F-6",1.26 Arab,Marriott Estate And Builders Offer,Islamabad
F-6 House for sale,"F-6/2, F-6",1.26 Arab,Marriott Estate And Builders Offer,Islamabad
F-7 Brand new house for sale,"F-7, Islamabad",1.26 Arab,Marriott Estate And Builders Offer,Islamabad
F-7 Brand new house for sale,"F-7, Islamabad",1.26 Arab,Marriott Estate And Builders Offer,Islamabad
F-7 Brand new house for sale,"F-7, Islamabad",46 Crore,Marriott Estate And Builders Offer,Islamabad
F-7 Brand new house for sale,"F-7, Islamabad",46 Crore,Marriott Estate And Builders Offer,Islamabad
Brand New One Kanal House For Sale at Prime Location,"DHA Defence Phase 2, DHA Defence",9.5 Crore,Newly Constructed At A Very Peacefu,Islamabad
25x40 Brand New Triple Storey House Is Available For Sale In D-12 3 CDA transfer Gas Connection Available,"D-12/3, D-12",4 Crore,25x40 Brand New Triple Storey House,Islamabad
A Palatial Residence For sale In I-8/4 Islamabad,"I-8/4, I-8",60.22 Lakh,Triple Story House Is Available For,Islamabad
912 Square Feet Flat In I-16 For sale,"I-16, Islamabad",15 Crore,"Flat For Sale In I_16
Size 912 Sqft",Islamabad
Park view city Islamabad 5 Marla villas Available on easy Monthly Installments,"Park View City, Islamabad",50 Lakh,Park view city Islamabad 5 Marla vi,Islamabad
D17 Islamabad House For Sale,"Margalla View Housing Society, D-17",23.71 Lakh,Margalla View Housing Society 6.5 M,Islamabad
12 MARLA ELEGANT BRAND NEW DOUBLE STORY HOUSE FOR SALE,"CBR Town Phase 1 - Block C, CBR Town Phase 1",2.6 Crore,12 marla brand new double story hou,Islamabad
"Ideal Prime Location 10 Marla House has landed on market in D-12, D-12","D-12, Islamabad",2.4 Crore,Brand New Designer Double Storey On,Islamabad
12 Marla House In G13,"G-13, Islamabad",5.2 Crore,"40*80 House For Sale In G13
brand N",Islamabad
2 Bed 2 Bath Flat For Sale First Floor Pha G-10,"G-10, Islamabad",13 Crore,"2 bed
2 bath
Tv lounge
Kitchen
GAS",Islamabad
E-11 House For Sale,"E-11, Islamabad",9.5 Crore,Marriott Estate And Builders Offer,Islamabad
F-10/3 House for sale,"F-10, Islamabad",2.15 Crore,Marriott Estate And Builders Offer,Islamabad
One bedroom apartment for sale in Family Building.,"E-11, Islamabad",12.3 Crore,E11/4 Makkah Tower Apartment for sa,Islamabad
E11/4 Qurtaba heights Two Bedroom apartment for sale.,"E-11/4, E-11",30 Crore,E11-4 Qurtaba heights Two bedroom a,Islamabad
E11/1 Veranda residencia Apartment for sale.,"The Veranda Residence, E-11/1",1.25 Crore,E11/1 Veranda Residencia Apartment,Islamabad
Two bedroom apartment for sale in capital residencia.,"E-11/4, E-11",1.5 Crore,E-11/4 Capital residencia Two bedro,Islamabad
12 MARLA WITH EXTRA LAND HOUSE WITH FRONT OPEN VIEW .,"DHA Phase 1 - Sector F, DHA Defence Phase 1",2.5 Crore,it's a 12 Marla Beautiful Designer,Islamabad
F-7 Brand new house for sale,"F-7, Islamabad",1.5 Crore,Marriott Estate And Builders Offer,Islamabad
E11/4 Two bedroom apartment for sale in Makkah Tower.,"Makkah Tower, E-11",5.9 Crore,E11/4 Two bedroom apartment for sal,Islamabad
E11-4 Emeriled Heights Two Bedroom apartment for sale.,"E-11/4, E-11",46 Crore,E11-4 Emerield Heights Two bedroom,Islamabad
House For Sale Situated In F-7,"F-7, Islamabad",1.8 Crore,A Well Built House In The Heart Of,Islamabad
Brand New House For Sale In F7,"F-7, Islamabad",1 Crore,Beautiful House Is Available For Sa,Islamabad
"One kanal beautiful Double unit House 
with Four marla extra land","DHA Defence Phase 2, DHA Defence",32 Crore,one kanal beautiful Double unit Hou,Islamabad
"One kanal Beautiful luxurious House
Prime location of Dha2","DHA Defence Phase 2, DHA Defence",38 Crore,one kanal beautiful Luxurious House,Islamabad
E-7 House for sale,"E-7, Islamabad",9.5 Crore,Uk Property Advisors and offer a ve,Islamabad
An Old Demolish able House / 1500 Sqyards/ F-6 Is Available For Sale,"F-6, Islamabad",55 Crore,"Details. 
1. Size 84 x 160 = 1500 s",Islamabad
An excellent apartment 2642 sqrft/ Centaurus is available for sale,"The Centaurus, F-8",15 Crore,An excellent apartment 2642 sqrft/,Islamabad
2 Bed Apartment (1182 Sq Feet) For Sale In Islamabad,"DHA Defence Phase 5, DHA Defence",90.92 Lakh,"Ultra-luxury, ultra-modern, spaciou",Islamabad
2 Bed Apartment (1182 Sq Feet) For Sale In Islamabad,"E-11, Islamabad",3.85 Crore,"Ultra-luxury, ultra-modern, spaciou",Islamabad
2 Bed Apartment (1125 Sq Feet) For Sale In Islamabad,"F-11, Islamabad",3.85 Crore,"Ultra-luxury, ultra-modern, spaciou",Islamabad
2 Bedroom Apartment Available In Eighteen - Golf Course View,"Eighteen, Kashmir Highway",65 Lakh,Eighteen is a perfect residential s,Islamabad
3 Bedroom Apartment - The finest apartment available in Eighteen Islamabad with scenic view of the Golf Course,"Eighteen, Kashmir Highway",3.85 Crore,Eighteen offers an ideal residentia,Islamabad
2 Bedroom Apartment with servant quartar Available In Eighteen - Golf Course View,"Eighteen, Kashmir Highway",4.39 Crore,Best Apartments In Pavilion-17 At E,Islamabad
"Luxurious 3-bed apartment + servant quarter in Eighteen with 100% golf course view for sale. Modern amenities, serene surroundings.","Eighteen, Kashmir Highway",6.44 Crore,Best Apartments In Pavilion-17 At E,Islamabad
Brand New 6 bedroom Luxury house,"DHA Phase 2 - Sector B, DHA Defence Phase 2",4.39 Crore,1 kanal luxury house available for,Islamabad
"Prime Location 1800 Square Feet House available for sale in G-13/2, Islamabad","G-13/2, G-13",6.03 Crore,Brand New 30x60 Modern Luxury House,Islamabad
